start_date,start_time,end_date,end_time,table (source)
2025-11-07,19:10,2025-11-07,19:33,Feeding (breast)
2025-11-07,15:15,2025-11-07,15:31,Feeding (breast)
2025-11-07,13:50,2025-11-07,14:05,Feeding (breast)
2025-11-07,12:47,2025-11-07,13:08,Feeding (breast)
2025-11-07,10:55,2025-11-07,11:10,Feeding (breast)
2025-11-07,09:24,2025-11-07,09:45,Feeding (breast)
2025-11-07,06:25,2025-11-07,06:40,Feeding (breast)
2025-11-07,05:13,2025-11-07,05:35,Feeding (breast)
2025-11-07,02:22,2025-11-07,02:42,Feeding (breast)
2025-11-07,00:02,2025-11-07,00:18,Feeding (breast)
2025-11-06,22:14,2025-11-06,22:35,Feeding (breast)
2025-11-06,19:50,2025-11-06,20:10,Feeding (breast)
2025-11-06,18:34,2025-11-06,19:00,Feeding (breast)
2025-11-06,15:22,2025-11-06,15:44,Feeding (breast)
2025-11-06,14:22,2025-11-06,14:36,Feeding (breast)
2025-11-06,10:20,2025-11-06,10:55,Feeding (breast)
2025-11-06,06:00,2025-11-06,06:20,Feeding (breast)
2025-11-06,00:55,2025-11-06,01:08,Feeding (breast)
2025-11-05,23:05,2025-11-05,23:28,Feeding (breast)
2025-11-05,19:20,2025-11-05,19:44,Feeding (breast)
2025-11-05,18:35,2025-11-05,18:53,Feeding (breast)
2025-11-05,15:18,2025-11-05,15:50,Feeding (breast)
2025-11-05,14:18,2025-11-05,14:45,Feeding (breast)
2025-11-05,12:40,2025-11-05,13:09,Feeding (breast)
2025-11-05,09:22,2025-11-05,09:52,Feeding (breast)
2025-11-05,07:19,2025-11-05,08:05,Feeding (breast)
2025-11-05,04:21,2025-11-05,04:45,Feeding (breast)
2025-11-05,02:09,2025-11-05,02:32,Feeding (breast)
2025-11-04,23:19,2025-11-04,23:49,Feeding (breast)
2025-11-04,19:46,2025-11-04,20:05,Feeding (breast)
2025-11-04,17:33,2025-11-04,18:10,Feeding (breast)
2025-11-04,16:05,2025-11-04,16:28,Feeding (breast)
2025-11-04,14:42,2025-11-04,15:10,Feeding (breast)
2025-11-04,11:28,2025-11-04,11:38,Feeding (breast)
2025-11-04,10:05,2025-11-04,10:35,Feeding (breast)
2025-11-04,08:15,2025-11-04,08:38,Feeding (breast)
2025-11-04,05:18,2025-11-04,05:48,Feeding (breast)
2025-11-04,03:08,2025-11-04,03:39,Feeding (breast)
2025-11-03,23:44,2025-11-03,23:54,Feeding (breast)
2025-11-03,23:07,2025-11-03,23:10,Feeding (expressed)
2025-11-03,22:32,2025-11-03,22:56,Feeding (breast)
2025-11-03,22:30,2025-11-03,22:47,Feeding (breast)
2025-11-03,19:54,2025-11-03,20:02,Feeding (breast)
2025-11-03,19:10,2025-11-03,19:38,Feeding (breast)
2025-11-03,15:50,2025-11-03,16:06,Feeding (breast)
2025-11-03,13:30,2025-11-03,13:40,Feeding (expressed)
2025-11-03,11:00,2025-11-03,11:24,Feeding (breast)
2025-11-03,09:15,2025-11-03,09:39,Feeding (breast)
2025-11-03,04:45,2025-11-03,04:59,Feeding (breast)
2025-11-03,03:30,2025-11-03,03:50,Feeding (breast)
2025-11-03,02:40,2025-11-03,03:04,Feeding (breast)
2025-11-03,00:03,2025-11-03,00:28,Feeding (breast)
2025-11-02,22:00,2025-11-02,22:20,Feeding (breast)
2025-11-02,21:16,2025-11-02,21:30,Feeding (breast)
2025-11-02,20:28,2025-11-02,20:40,Feeding (breast)
2025-11-02,19:37,2025-11-02,20:05,Feeding (breast)
2025-11-02,17:37,2025-11-02,18:00,Feeding (breast)
2025-11-02,16:34,2025-11-02,16:54,Feeding (breast)
2025-11-02,14:09,2025-11-02,14:19,Feeding (breast)
2025-11-02,13:21,2025-11-02,13:42,Feeding (breast)
2025-11-02,09:55,2025-11-02,10:11,Feeding (breast)
2025-11-02,06:24,2025-11-02,06:52,Feeding (breast)
2025-11-02,03:24,2025-11-02,03:48,Feeding (breast)
2025-11-02,00:10,2025-11-02,00:20,Feeding (breast)
2025-11-01,22:41,2025-11-01,22:53,Feeding (breast)
2025-11-01,21:56,2025-11-01,22:20,Feeding (breast)
2025-11-01,19:48,2025-11-01,19:58,Feeding (breast)
2025-11-01,18:55,2025-11-01,19:14,Feeding (breast)
2025-11-01,18:12,2025-11-01,18:24,Feeding (breast)
2025-11-01,15:13,2025-11-01,15:30,Feeding (breast)
2025-11-01,14:11,2025-11-01,14:30,Feeding (breast)
2025-11-01,11:20,2025-11-01,11:40,Feeding (breast)
2025-11-01,10:10,2025-11-01,10:34,Feeding (breast)
2025-11-01,06:03,2025-11-01,06:21,Feeding (breast)
2025-11-01,05:23,2025-11-01,05:40,Feeding (breast)
2025-11-01,02:40,2025-11-01,03:20,Feeding (breast)
2025-10-31,22:30,2025-10-31,22:45,Feeding (breast)
2025-10-31,22:00,2025-10-31,22:23,Feeding (breast)
